"HBID","dti_dtitk_jhutract_tr_atr_l","dti_dtitk_jhutract_tr_atr_r","dti_dtitk_jhutract_tr_cst_l","dti_dtitk_jhutract_tr_cst_r","dti_dtitk_jhutract_tr_cgc_l","dti_dtitk_jhutract_tr_cgc_r","dti_dtitk_jhutract_tr_cgh_l","dti_dtitk_jhutract_tr_cgh_r","dti_dtitk_jhutract_tr_forceps_mjor","dti_dtitk_jhutract_tr_forceps_minor","dti_dtitk_jhutract_tr_ifo_l","dti_dtitk_jhutract_tr_ifo_r","dti_dtitk_jhutract_tr_ilf_l","dti_dtitk_jhutract_tr_ilf_r","dti_dtitk_jhutract_tr_slf_l","dti_dtitk_jhutract_tr_slf_r","dti_dtitk_jhutract_tr_uf_l","dti_dtitk_jhutract_tr_uf_r"
3944436839,2.15441,2.24566,2.01484,1.99336,2.12521,2.12625,2.25143,2.1147,2.46721,2.2978,2.2437,2.2645,2.1492,2.10516,2.23253,2.11647,2.27432,2.33506
1046150284,2.11752,2.21102,2.05784,2.02736,2.10514,2.10458,2.29994,2.15513,2.25427,2.27978,2.21759,2.22281,2.20342,2.13474,2.20292,2.14106,2.27525,2.32499
969429067,2.10544,2.23613,1.90407,1.91226,1.91115,1.92457,2.11463,2.04823,2.29889,2.19563,2.16908,2.15785,2.08375,2.04827,2.08395,1.9951,2.13203,2.19034
3885303335,2.15246,2.31293,1.96279,1.98733,2.0787,2.08267,2.29334,2.13745,2.81156,2.29807,2.26728,2.2958,2.22246,2.13722,2.17878,2.0215,2.31408,2.35683
3514026778,,,,,,,,,,,,,,,,,,
2571584363,,,,,,,,,,,,,,,,,,
164340311,2.04512,2.14641,1.97293,1.93655,2.04928,2.0122,2.21306,1.94113,2.18512,2.16472,2.141,2.10696,2.1198,1.9843,2.13429,2.09986,2.17866,2.34143
1510661513,2.01085,2.09037,1.79874,1.78256,1.93023,1.92967,2.27487,1.82085,2.14768,2.11366,2.07778,2.04053,1.99732,1.90123,2.07489,1.90012,2.10711,2.0975
387676254,2.14095,2.09414,2.02935,1.92849,1.91718,1.90604,2.33051,2.49785,3.32672,2.15066,2.15082,2.09106,2.04749,1.981,1.97156,1.95265,2.12216,2.12902
2637186896,2.10031,2.23737,1.97516,1.9774,2.04007,2.02758,2.2115,2.12484,2.60799,2.20986,2.18692,2.14514,2.08734,2.0308,2.14005,2.01407,2.16042,2.262
2941595782,2.14044,2.18702,1.92476,2.01037,1.94811,2.02488,1.93521,1.94946,2.61844,2.1547,2.12245,2.17902,2.06527,2.04313,2.03342,1.9854,2.27303,2.30037
4052704078,2.07016,2.21401,2.01626,2.03089,2.08861,2.13381,2.18072,2.12911,2.1702,2.2395,2.18913,2.2306,2.0678,2.04084,2.12261,2.05882,2.31826,2.36615
2144166108,2.17279,2.35759,2.01066,2.10745,2.08643,2.13623,2.18595,2.0332,2.96103,2.30801,2.30794,2.32248,2.19722,2.20092,2.22423,2.17355,2.27144,2.33175
3632718209,2.05668,2.20521,1.98949,1.98556,1.98464,2.01544,2.3233,2.21583,2.40076,2.23472,2.14209,2.14987,2.01554,2.01017,2.0534,1.93871,2.25498,2.33848
2436560104,2.15569,2.26323,1.94122,1.9646,2.13173,2.12389,2.179,2.02119,2.2614,2.24056,2.21975,2.20591,2.16199,2.05604,2.13391,2.04816,2.34942,2.39048
209477679,2.20325,2.27743,1.9719,1.99932,2.07119,2.13172,2.17282,2.21522,2.39895,2.25535,2.18165,2.134,2.16892,2.08781,2.17797,2.04727,2.27428,2.38422
880826039,2.17116,2.29252,1.9415,1.99454,1.99719,1.94166,1.96639,1.92912,2.20967,2.33154,2.25024,2.27893,2.13747,2.15062,2.17976,1.98211,2.25312,2.48029
3342436384,2.19417,2.27933,1.99056,2.03464,2.13693,2.17445,2.31888,2.21762,2.17797,2.3272,2.2584,2.22442,2.25061,2.18025,2.21587,2.08577,2.43318,2.40946
3747244531,2.0891,2.14486,1.94244,1.93682,2.06318,2.01007,2.16406,2.06418,2.32232,2.20278,2.14615,2.13127,2.09832,2.00477,2.10362,2.07073,2.19463,2.19425
1674892806,2.14009,2.22632,1.92978,1.95497,1.99263,2.03702,2.29071,2.09751,2.26722,2.2293,2.27106,2.20339,2.18309,2.1269,2.10194,2.03605,2.26921,2.35031
2023048953,,,,,,,,,,,,,,,,,,
547350619,2.02179,2.14013,1.91192,1.90494,1.94601,1.97951,2.17953,2.07666,2.12882,2.00586,2.10457,2.07673,2.01003,1.98343,2.04588,1.96853,2.14793,2.25205
2824974022,2.10085,2.12656,1.95518,1.95796,1.9804,2.05052,2.18795,1.98347,2.3129,2.167,2.15785,2.0965,2.04062,2.00663,2.0771,1.92669,2.3211,2.31314
1889365920,2.03017,2.1252,1.86992,1.88267,1.99242,1.92724,2.02263,2.02215,2.25537,2.14748,2.09584,2.07266,2.04634,1.99033,1.98081,1.94148,2.19829,2.26709
3589036789,2.09243,2.20205,2.03217,1.98543,2.05585,2.08398,2.35706,2.20275,2.3305,2.21532,2.17161,2.15212,2.12914,2.08033,2.12937,1.99243,2.24095,2.27618
499135165,3.60525,3.75474,1.99042,1.90441,2.06657,2.01498,3.9541,3.81818,4.22384,2.74684,2.29832,2.30992,2.28137,2.16361,2.33287,2.15943,2.42102,2.34628
1407108815,2.10596,2.14278,1.95811,1.97664,1.96695,2.00917,2.14172,2.12466,2.222,2.17984,2.10295,2.10641,2.02793,1.99854,2.07286,1.93364,2.24937,2.26307
