"HBID","dti_jlf_rd_L_Limbic_Lobe_WM","dti_jlf_rd_L_Insular_Lobe_WM","dti_jlf_rd_L_Frontal_Lobe_WM","dti_jlf_rd_L_Parietal_Lobe_WM","dti_jlf_rd_L_Occipital_Lobe_WM","dti_jlf_rd_L_Temporal_Lobe_WM","dti_jlf_rd_R_Limbic_Lobe_WM","dti_jlf_rd_R_Insular_Lobe_WM","dti_jlf_rd_R_Frontal_Lobe_WM","dti_jlf_rd_R_Parietal_Lobe_WM","dti_jlf_rd_R_Occipital_Lobe_WM","dti_jlf_rd_R_Temporal_Lobe_WM"
1117728478,0.59184,0.5703,0.66065,0.68123,0.73011,0.62723,0.59948,0.56616,0.66696,0.6965,0.72789,0.63175
2869603869,0.56803,0.56108,0.64238,0.63924,0.64484,0.60158,0.56692,0.55894,0.63268,0.64411,0.65846,0.6135
3247526112,0.61383,0.53869,0.61894,0.6444,0.70157,0.60187,0.59739,0.54158,0.62347,0.66131,0.69367,0.62014
541266969,0.5739,0.53868,0.61761,0.63745,0.68019,0.62199,0.56628,0.53894,0.62191,0.67181,0.68401,0.63652
2764477866,0.56702,0.5266,0.62246,0.62268,0.66518,0.61188,0.56974,0.52081,0.61749,0.62987,0.65481,0.60858
1643413275,0.57742,0.55445,0.64855,0.63163,0.68684,0.62143,0.59812,0.57388,0.65914,0.65412,0.70285,0.63771
1057552645,0.60648,0.56968,0.6528,0.64947,0.68066,0.62113,0.61314,0.58488,0.65926,0.66148,0.66344,0.64866
204451438,0.60631,0.57148,0.63868,0.67367,0.68298,0.64851,0.61039,0.56357,0.64023,0.68815,0.67998,0.62584
1334025864,,,,,,,,,,,,
3154844082,0.6015,0.59128,0.66113,0.65885,0.68902,0.64298,0.60617,0.59819,0.65419,0.66505,0.69322,0.65371
1238657731,0.5603,0.53078,0.60843,0.61578,0.63753,0.60541,0.55217,0.5245,0.60794,0.58983,0.64338,0.59641
3738219698,,,,,,,,,,,,
1920834566,0.54075,0.52331,0.60963,0.63046,0.66595,0.59972,0.55192,0.54299,0.61229,0.64052,0.65147,0.60388
242582476,,,,,,,,,,,,
1334786582,0.53478,0.51665,0.58571,0.6558,0.68714,0.57642,0.53337,0.51862,0.5863,0.66858,0.68015,0.5783
1067847783,0.6465,0.53858,0.62919,0.69271,0.73633,0.6318,0.65136,0.53669,0.63756,0.71294,0.72701,0.62617
1016438497,0.59055,0.57995,0.67421,0.65285,0.70659,0.64059,0.58896,0.5776,0.65402,0.69543,0.71387,0.6525
4111955295,0.60299,0.56561,0.68261,0.72108,0.70511,0.6435,0.61039,0.56789,0.67852,0.72353,0.67543,0.66312
4253764987,0.55933,0.53769,0.61583,0.62578,0.64679,0.61596,0.57611,0.52719,0.60845,0.63956,0.64496,0.59186
679577873,0.55629,0.55575,0.63011,0.63976,0.67379,0.61061,0.56569,0.54367,0.63986,0.65109,0.6824,0.61997
4285006745,0.55671,0.54329,0.64054,0.65245,0.68051,0.613,0.56642,0.56221,0.64346,0.65763,0.6899,0.63252
2330815428,,,,,,,,,,,,
