"HBID","X","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area"
3700295035,808,998,607,2605,1357,443,3164,4553,4011,1103,5033,2807,3311,1622,3168,794,1320,1875,799,1437,1287,4540,1419,5182,3444,867,6854,8571,5540,3948,4184,250,566,455,2525,90638.3,1044,693,2813,1404,313,3687,6454,3479,1082,4908,2718,2728,1885,3545,724,1605,1677,768,1781,1364,4159,1003,5153,4036,795,6759,7950,5513,4066,3707,322,460,312,2203,91109.4
1722450846,811,794,632,2138,1366,444,3409,4020,3114,786,4385,2673,3280,1672,2770,761,1070,1398,548,995,1291,3885,1044,4092,3640,667,5273,6076,5283,3218,3156,154,446,423,1963,76869.1,676,648,1536,1355,274,2827,5221,2777,777,4448,2333,2914,1694,3242,636,1433,1347,654,1373,1489,4232,894,4096,3425,613,5592,6235,4859,3379,3038,252,523,240,1834,76866.9
1965294588,812,1127,437,2163,1448,298,3348,4852,3367,941,4092,2408,2792,1372,3085,644,1406,1697,569,1389,1220,3581,969,4643,3420,677,5484,6247,5011,3724,3177,158,432,411,1791,78378.9,893,867,1632,1322,402,2920,5385,2819,797,4278,2600,2583,1360,3306,654,1334,1268,779,1433,1313,3667,1161,4462,3465,664,6075,5504,4885,3635,3341,241,412,403,1794,77652.9
528046854,814,1282,807,2880,1491,352,3680,5289,3876,1085,4338,2633,3176,1707,2979,773,1207,1745,546,1403,1389,3787,1219,4807,4173,807,6055,6938,5283,3660,4520,215,516,358,2252,87228.6,1029,606,1945,1351,217,3355,5575,3566,894,4644,2690,3280,1863,3584,710,1250,1477,826,1557,1369,3928,1058,4339,4304,563,6510,6873,5949,3874,4547,333,411,318,2219,87012.1
2449844839,817,968,640,2121,1395,346,3386,4872,3420,842,4488,2100,2777,1592,3406,794,1152,1486,508,1100,1191,4248,1132,4558,3459,554,5488,7052,5020,3471,3105,207,444,424,1922,79669.6,998,703,1733,1223,295,3287,5898,3563,906,3903,2281,2808,1546,3306,662,1134,1375,576,1284,1237,3687,1086,4304,3543,599,5285,6943,5664,3478,3581,211,354,323,1929,79705.1
1797324571,818,1202,535,1807,1269,491,3233,4846,3108,707,4146,2379,2880,1579,3141,1057,1068,2031,611,1243,1333,3711,1106,4123,3342,659,4483,6322,4683,3582,3285,107,497,423,1842,76829.3,1125,853,2296,1295,366,2577,4994,2711,825,4460,2555,2706,1626,3368,719,1194,1373,702,1820,1435,2494,1058,6233,3180,761,4788,6057,4381,3094,2890,316,423,258,2328,77262
4071668089,821,920,341,2483,1469,362,2953,4762,3298,792,4963,2486,2818,1816,2590,695,1361,1470,525,1165,1252,3472,963,4847,3532,630,5861,6634,5198,3490,3089,146,485,344,2030,79241.3,937,671,1788,1520,332,2767,5703,3048,856,4438,2786,2744,1519,2736,554,1562,1545,792,1331,1496,3251,1029,5155,3504,511,5928,6340,5412,3094,2988,258,438,318,2014,79363.6
1775468815,822,1058,450,1737,1121,304,2562,3936,2200,890,4097,2873,3141,1343,2476,827,1203,1538,610,1122,1171,3106,714,3874,3293,507,4389,6147,4325,3174,2953,174,380,455,1750,69902.1,725,549,1865,948,375,2636,4401,1954,867,4262,2809,2895,1683,2391,778,1334,1159,670,1145,988,3105,835,3657,3724,630,4953,5611,4736,2819,3523,277,441,343,1758,70846.1
3550471249,824,1344,817,2886,1403,326,3235,4569,4071,1112,4968,2819,2774,1747,3780,897,1565,1935,694,1478,1315,4113,1492,5659,4108,893,7332,7268,5315,4486,5418,177,523,518,3012,94049.5,1242,878,1974,1656,402,3524,5989,3848,1040,4628,2831,2875,1911,3981,765,1544,1735,824,1758,1361,4104,1246,5233,4581,824,6906,7456,5693,4437,4706,329,433,411,2809,93935.6
4059957252,825,977,570,2028,1302,376,2942,4217,3451,721,3701,2125,2206,1774,2593,622,1371,1138,571,1020,1140,3492,901,4082,3110,730,5078,6085,3906,3136,2832,199,444,397,1930,71170.7,831,704,2065,1477,270,3128,4771,2800,748,3587,2324,2275,1557,2892,623,1489,908,641,1159,1272,3353,1127,4145,3180,623,5571,6167,3926,3230,2921,235,406,292,1896,72591.8
2981295643,829,1062,559,2462,1208,352,2836,4492,3079,959,3999,2855,2580,1996,3105,689,1277,1446,575,1193,1085,3677,1078,4742,3898,799,5482,6497,4619,3702,3903,154,374,477,2361,79571.1,951,679,2115,1402,268,2841,5417,2838,868,4290,2686,2933,1819,3534,691,1256,1185,688,1647,1531,3699,1210,4290,3823,565,5869,6234,4514,3433,3501,236,347,314,2434,80108.4
224738126,830,1006,545,2337,1265,329,3194,4496,3350,893,4436,2540,2410,1822,2767,751,1362,1554,539,1481,1151,4011,1017,4363,3718,661,6159,6811,5025,3741,3737,151,530,528,2143,80822.5,865,447,2297,1442,267,3109,4877,2894,657,3945,2758,2526,1952,2927,657,1547,1184,970,1341,1448,3606,1033,4316,3444,391,5304,7063,4780,3838,3796,202,483,417,2324,79106.7
3689938332,831,1392,1205,3462,1922,467,3649,5430,4601,915,5230,3081,3680,2268,3990,705,1562,1397,663,1479,1678,5109,1847,6087,3936,1327,7743,8901,5514,4724,4900,235,554,464,2331,102447,1225,737,3003,1924,391,3423,7497,4072,1211,5243,3550,3638,1995,4689,906,1820,1400,876,1690,1830,4084,1287,5512,4784,878,8742,8667,6937,4527,4634,301,373,336,2380,104563
586123677,836,873,512,1904,1235,290,2447,3395,3120,1070,4158,2303,2549,1594,2840,543,1176,1665,564,1086,1108,3236,909,3951,3280,667,5840,6371,5584,3695,4133,205,392,424,1873,74992.5,803,666,1764,1375,234,2635,4696,3071,811,4311,2006,2607,1545,2758,533,1412,1170,694,1513,1290,3591,1023,4105,3060,543,5909,6120,4990,3305,3271,296,316,305,1940,74668.9
3414495364,838,1391,964,2760,1404,315,3892,5406,3604,1355,5120,3148,3528,2005,3901,840,1329,1656,591,1637,1351,3923,1311,5090,4194,907,7326,7116,4996,4827,4107,298,534,536,2266,93630.4,1246,778,2494,1706,276,3770,7868,3565,1160,5016,3266,3529,2046,3924,894,1796,1242,793,1388,1631,3995,1264,5903,4086,716,6909,8431,4795,4006,3472,259,464,423,2368,95479.2
2699396027,840,1131,353,2585,1364,363,2670,3983,2994,852,3947,2356,3364,1907,2917,679,1027,1688,559,1355,1564,3095,699,4008,3268,709,5554,6412,4658,3259,3759,199,383,414,1945,76019.3,841,681,2410,1397,301,2776,5738,2477,825,3471,2369,2996,1498,2891,673,1177,1347,606,1598,1778,3248,982,4110,3285,625,5569,6007,4781,3354,3077,301,424,275,1984,75872.2
582133842,841,1187,657,2779,1530,320,3469,5463,3307,1079,5270,2783,3130,1635,2990,678,1394,1223,595,1303,1332,3692,1735,5595,3249,702,6177,7673,5459,4032,4428,165,476,432,2155,88096.6,812,793,2420,1490,465,3888,6456,3354,1167,5248,2718,3188,1701,3401,592,1493,1011,872,1453,1502,3922,1281,4585,4067,829,7061,7472,5348,3612,3835,237,486,365,2539,89662
1468244727,842,1192,600,2859,1509,424,3711,4412,3696,1193,5296,2733,3343,1926,3334,867,1036,2092,656,1640,1858,3964,1204,5148,4071,785,6322,7676,6045,4005,4391,225,496,451,2461,91621.8,1010,873,2685,1661,266,3860,5909,3514,952,5015,2800,3545,1817,3664,839,1251,1535,908,1933,2117,3896,1286,4871,3851,840,6409,6979,5694,3747,3687,332,441,335,2762,91288.2
1581676408,844,1293,612,3334,1292,407,3387,4413,3866,841,4888,3086,2600,2080,3176,805,1533,1890,643,1444,1278,3562,1213,4859,3578,815,6355,7681,6005,3914,3717,244,483,482,2222,87997.3,1137,674,3018,1239,329,3704,6090,3847,982,4324,2741,2482,1863,3267,746,1676,1678,664,1743,1286,3502,1159,4834,4035,679,6172,7902,5511,3808,3792,366,399,336,2672,88656.6
2971930882,845,955,520,2414,1464,350,2732,4648,2721,734,5440,2721,2673,1960,3286,727,1611,1906,804,1397,1203,4811,1339,5383,4041,687,7536,7529,6623,3981,4877,242,347,547,2230,90440.4,991,700,2268,1793,363,3162,6006,3577,701,4273,2614,3227,1485,3696,922,1740,1839,735,2172,1240,3930,1245,5011,3960,650,5843,6926,6476,4095,4276,203,403,513,2725,89762.6
226926062,847,1060,514,1879,1174,362,2699,4107,2833,786,3799,1950,2204,1357,2514,654,1362,1344,514,1137,1021,3585,1040,4139,3157,682,4682,6119,4436,2914,2989,171,364,336,1903,69784.9,790,549,1497,1280,262,2369,4668,2674,692,3363,2149,2271,1432,2929,558,1349,1075,624,1288,1094,3472,1055,4304,3164,577,4454,5906,4682,2994,2657,208,394,264,1783,68828.8
